	0
L759	1.24277
L760	2.17018
L761	1.2524899999999999
L762	2.26846
L763	1.21652
L764	2.02696
L765	1.2315
L766	2.06832
L767	1.14725
L768	1.97874
L769	1.20448
L770	1.86896
L771	1.1813200000000004
L772	1.76022
L773	1.22091
L774	1.84606
L775	1.16495
L776	2.00412
L777	1.1002100000000001
L778	1.8150200000000003
L779	1.1880600000000001
L780	1.96814
L781	1.1800800000000002
L782	1.9670200000000004
L783	1.0972700000000002
L784	1.8110600000000003
L785	1.19212
L786	1.78096
L787	1.0825
L788	1.8390600000000004
L729	0.0
L730	0.0
L731	0.0
L732	5.209999999999999
L733	0.42
L734	10.1
L735	9.8
L736	13.699999999999998
L737	13.199999999999998
L738	15.5
L739	0.0
L740	0.0
L741	0.0
L742	0.0
L743	0.0
L744	0.0
L745	0.0
L746	0.0
L747	0.0
L748	0.0
